id,neighbourhood_cleansed,latitude,longitude
30346862,Downtown,49.27539,-123.13316
30352025,Fairview,49.26724,-123.14109
30355890,Grandview-Woodland,49.28154,-123.06002
30371290,Sunset,49.23119,-123.09892
30373419,Sunset,49.23157,-123.09974
30431283,Kitsilano,49.26806,-123.1644
30447982,Grandview-Woodland,49.27273,-123.07279
30464949,Kitsilano,49.27214,-123.16703
30487322,Fairview,49.26671,-123.14494
30502873,Killarney,49.22767,-123.03541
30557868,Renfrew-Collingwood,49.23858,-123.02487
30559784,Fairview,49.26181,-123.14399
30584324,Fairview,49.26002,-123.12768
30589887,Downtown,49.28038,-123.12471
30592428,Downtown,49.27701,-123.124
30689243,Downtown,49.28048,-123.12496
30692099,Downtown,49.2789,-123.10792
30743342,Downtown,49.27532,-123.12493
30768655,Fairview,49.25974,-123.12675
30801826,Mount Pleasant,49.26137,-123.08884
30856530,Mount Pleasant,49.26513,-123.10181
30892524,Downtown,49.28029,-123.12292
30914254,Downtown Eastside,49.28159,-123.10816
30965700,Downtown,49.28108,-123.10876
30994676,Kitsilano,49.25979,-123.16979
31017716,Kensington-Cedar Cottage,49.24595,-123.08734
31018531,West End,49.28661,-123.13053
31018794,West End,49.28714,-123.12987
31101733,Dunbar Southlands,49.24557,-123.19187
31122370,Hastings-Sunrise,49.27744,-123.05046
31124621,Hastings-Sunrise,49.27685,-123.03291
31173831,Arbutus Ridge,49.25615,-123.16666
31178487,Grandview-Woodland,49.27017,-123.06409
31221804,Downtown,49.27622,-123.11734
31238073,Dunbar Southlands,49.23892,-123.17921
31264316,Riley Park,49.24679,-123.09755
31287337,Downtown,49.27751,-123.12895
31294810,Dunbar Southlands,49.23848,-123.17721
31317039,West End,49.2884,-123.12755
31317042,Kensington-Cedar Cottage,49.26087,-123.05738
31338715,West End,49.2873,-123.12704
31339164,Renfrew-Collingwood,49.24117,-123.02709
31340160,Kensington-Cedar Cottage,49.26054,-123.05792
31343548,West End,49.28184,-123.13678
31387750,Kitsilano,49.27082,-123.18064
31388423,Mount Pleasant,49.26017,-123.09725
31419801,Arbutus Ridge,49.24687,-123.16086
31444609,Downtown,49.27807,-123.12233
31444945,Downtown,49.27807,-123.12233
31444953,Downtown,49.27807236,-123.1223297
31445122,Downtown,49.27807,-123.12233
31445146,Downtown,49.27807236,-123.1223297
31489238,Renfrew-Collingwood,49.24089,-123.05802
31542303,Marpole,49.21282,-123.1339
31543440,Downtown,49.27339,-123.12682
31558615,Kensington-Cedar Cottage,49.23486,-123.06865
31570080,West Point Grey,49.2677,-123.1865
31646868,Mount Pleasant,49.26047,-123.1076
31667932,Downtown,49.27301,-123.12007
31669586,Grandview-Woodland,49.28101,-123.05851
31710193,Riley Park,49.24862,-123.10277
31716181,West Point Grey,49.25952,-123.20709
31758873,Kitsilano,49.27286,-123.1511
31760440,Downtown,49.28036,-123.12206
31799624,West End,49.2901,-123.13296
31800789,West End,49.29161,-123.13427
31806238,West End,49.28614,-123.1268
31808407,Downtown,49.27431,-123.12379
31833644,Downtown,49.28653,-123.12339
31854395,Dunbar Southlands,49.23641,-123.19358
31881833,Downtown,49.27479,-123.13338
31898791,Riley Park,49.25602,-123.11392
31909553,Downtown,49.27772,-123.11118
31929412,Downtown,49.28036,-123.10741
31934285,Grandview-Woodland,49.28058,-123.07253
31941008,Riley Park,49.25466,-123.09249
31956614,Mount Pleasant,49.26551,-123.11056
32013288,Oakridge,49.22389,-123.13323
32041648,Mount Pleasant,49.25741,-123.07923
32043949,Arbutus Ridge,49.24123,-123.15481
32044207,Downtown,49.27785,-123.12058
32069175,Downtown,49.27915,-123.10546
32089495,Grandview-Woodland,49.26755,-123.06032
32095549,West End,49.27686,-123.13359
32108967,Downtown,49.28004,-123.12225
32115125,Riley Park,49.24897,-123.09944
32127471,Kitsilano,49.25794,-123.18397
32135798,Downtown,49.27939,-123.1205
32160848,Downtown,49.27603,-123.11703
32162289,Fairview,49.26523,-123.12232
32164701,Riley Park,49.24392,-123.09669
32172374,Downtown,49.27922,-123.12147
32186644,South Cambie,49.25161,-123.11842
32195144,Downtown,49.27524,-123.13402
32238733,Downtown,49.27867,-123.12485
32239730,Kitsilano,49.26634,-123.15949
32253921,Hastings-Sunrise,49.26352,-123.04747
32257227,Downtown,49.27923,-123.12314
32312468,Kensington-Cedar Cottage,49.23499,-123.08769
32420319,Dunbar Southlands,49.23933,-123.19086
32525438,Kerrisdale,49.22042,-123.15534
32550553,Fairview,49.26737,-123.14052
32571178,Dunbar Southlands,49.25176,-123.17397
32571675,Downtown,49.27989,-123.12096
32587632,Hastings-Sunrise,49.28026,-123.02393
32609766,Hastings-Sunrise,49.29295,-123.04857
32611986,Downtown Eastside,49.2809,-123.10524
32620540,Grandview-Woodland,49.26845,-123.07265
32631477,Riley Park,49.23514,-123.10575
32638572,Downtown Eastside,49.28366,-123.10672
32640895,Shaughnessy,49.23506,-123.14177
32641690,Kensington-Cedar Cottage,49.24284,-123.07443
32645619,Kensington-Cedar Cottage,49.25177,-123.06269
32646786,Kitsilano,49.27173,-123.16328
32697640,Kensington-Cedar Cottage,49.23912,-123.06857
32715187,West End,49.28963,-123.13398
32750167,Hastings-Sunrise,49.2834,-123.0552
32791067,Sunset,49.22297,-123.07906
32815298,South Cambie,49.24842,-123.11655
32819750,Downtown,49.27455,-123.13215
32837656,Oakridge,49.23097,-123.11167
32872579,Kitsilano,49.26797,-123.17143
32875617,Downtown Eastside,49.28093,-123.10542
32876783,Downtown,49.28089,-123.11794
32890442,West End,49.29044,-123.13468
32898892,Riley Park,49.23490143,-123.1131592
32902275,Kitsilano,49.2689,-123.15981
32913732,West End,49.29191,-123.13479
32944486,Kerrisdale,49.21505,-123.15128
32945266,Marpole,49.21354,-123.13497
32947268,Marpole,49.21163,-123.13445
32962975,Renfrew-Collingwood,49.24424,-123.05248
32982064,Downtown,49.27967834,-123.1088333
32982427,South Cambie,49.24745,-123.12041
32985306,Arbutus Ridge,49.23956,-123.15643
32990894,Downtown,49.27979,-123.1187
33022369,Riley Park,49.25533,-123.10414
33041847,Grandview-Woodland,49.27402,-123.05813
33073432,Victoria-Fraserview,49.21805,-123.06224
33087883,Kitsilano,49.26849,-123.14749
33093120,West End,49.27974,-123.13497
33097298,Marpole,49.21107,-123.13433
33097585,Downtown Eastside,49.28112,-123.10733
33098749,Arbutus Ridge,49.25644,-123.16395
33117423,Mount Pleasant,49.2669,-123.11451
33119331,Mount Pleasant,49.26433,-123.10152
33142743,Kensington-Cedar Cottage,49.2441,-123.08943
33162928,West Point Grey,49.26811,-123.21718
33166483,Downtown,49.27583,-123.13308
33195011,Arbutus Ridge,49.25626,-123.16381
33197218,Kensington-Cedar Cottage,49.2458,-123.05679
33230188,Sunset,49.22962,-123.08003
33276869,Mount Pleasant,49.26100302,-123.0870662
33288404,Downtown,49.27875,-123.12487
33296736,Downtown Eastside,49.2834,-123.10224
33299354,Downtown Eastside,49.28102,-123.10638
33310791,Downtown,49.28124,-123.12516
33340994,Kensington-Cedar Cottage,49.25558,-123.08802
33350822,West End,49.28603,-123.12466
33368809,Kensington-Cedar Cottage,49.25206,-123.05795
33378813,Marpole,49.20999,-123.14678
33394551,Downtown,49.28061,-123.12449
33399273,Kerrisdale,49.23189,-123.14962
33433323,West End,49.28234479,-123.1270264
33450073,Downtown,49.27621,-123.11033
33450536,Killarney,49.22917,-123.02698
33451717,Hastings-Sunrise,49.28123,-123.04761
33523843,Downtown Eastside,49.27844,-123.08527
33531235,Downtown Eastside,49.27821,-123.07952
33544332,Dunbar Southlands,49.22509,-123.18899
33551463,Sunset,49.22962,-123.0798
33555765,Downtown,49.27603,-123.13021
33556644,Kitsilano,49.26413,-123.17343
33558870,Oakridge,49.23132,-123.10991
33559723,Oakridge,49.23208,-123.11157
33566412,Dunbar Southlands,49.23751,-123.1815
33594153,Arbutus Ridge,49.25625,-123.16338
33610721,West End,49.28935,-123.13468
33610726,West End,49.29056,-123.13529
33611850,Kitsilano,49.2661,-123.1594
33637719,Kensington-Cedar Cottage,49.24872,-123.08863
33645396,Downtown,49.28821,-123.1268
33645791,Downtown Eastside,49.28197,-123.10824
33657678,Kitsilano,49.26599,-123.15889
33661532,Hastings-Sunrise,49.26282,-123.0351
33667096,Mount Pleasant,49.25765,-123.08032
33669383,Riley Park,49.24869,-123.1142
33687129,Mount Pleasant,49.25987,-123.10713
33692846,Kitsilano,49.26069,-123.15356
33740118,Kensington-Cedar Cottage,49.24971,-123.06113
33781323,Downtown,49.27939,-123.12067
33786053,Riley Park,49.23677,-123.09062
33803742,Fairview,49.26402,-123.1196
33803910,Kitsilano,49.26566,-123.18372
33807345,Mount Pleasant,49.25861,-123.08109
33832238,Downtown,49.274452,-123.127953
33837243,Hastings-Sunrise,49.27716,-123.03378
33857514,South Cambie,49.25217,-123.12009
33879865,Hastings-Sunrise,49.28285,-123.03092
33885009,Renfrew-Collingwood,49.23677,-123.05548
33885031,Grandview-Woodland,49.26358,-123.06453
33885157,Dunbar Southlands,49.2519,-123.183
33907947,West End,49.28442,-123.12381
33939614,Kitsilano,49.27062272,-123.1601681
33945029,Grandview-Woodland,49.27043,-123.05802
33952895,Kitsilano,49.2601,-123.14659
33962306,Hastings-Sunrise,49.28302,-123.02837
33974848,Dunbar Southlands,49.25355,-123.18299
33997048,Kerrisdale,49.22908,-123.17645
34017979,Downtown,49.27634,-123.11305
34019239,Kensington-Cedar Cottage,49.25414,-123.07883
34061229,Victoria-Fraserview,49.23167,-123.06556
34068050,West Point Grey,49.26626,-123.20078
34083989,Grandview-Woodland,49.28856,-123.05991
34091763,Killarney,49.22895,-123.04251
34109372,Kensington-Cedar Cottage,49.24149,-123.08796
34126347,Dunbar Southlands,49.22984,-123.18895
34127668,Sunset,49.2276,-123.08981
34147959,Riley Park,49.24398,-123.09207
34153395,Kitsilano,49.26821,-123.18413
34176785,Downtown Eastside,49.2781,-123.09955
